,Med_School,MCAT,GPA
51,Meharry Medical College,502.0,3.5
53,Michigan State University College of Human Medicine,504.0,3.46
33,Howard University College of Medicine,504.0,3.51
59,Northeast Ohio Medical University,505.0,3.75
148,Wright State University Boonshoft School of Medicine,505.0,3.63
25,Florida State University College of Medicine,505.0,3.72
54,Morehouse School of Medicine,506.0,3.67
119,University of New Mexico School of Medicine,506.0,3.69
121,University of North Dakota School of Medicine and Health Sciences,506.0,3.77
21,East Tennessee State University James H. Quillen College of Medicine,506.0,3.57
13,Cooper Medical School of Rowan University,507.0,3.68
114,University of Missouri - Columbia School of Medicine,507.0,3.67
125,University of South Alabama College of Medicine,507.0,3.89
115,University of Missouri - Kansas City School of Medicine,507.0,3.8
45,Marshall University Joan C. Edwards School of Medicine,507.0,3.7
9,Central Michigan University College of Medicine,508.0,3.62
85,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,509.0,3.71
107,University of Louisville School of Medicine,509.0,3.66
117,"University of Nevada Las Vegas, School of Medicine",509.0,3.41
128,University of South Dakota Sanford School of Medicine,509.0,3.79
61,Oakland University William Beaumont School of Medicine,509.0,3.8
144,Wayne State University School of Medicine,509.0,3.69
131,University of Texas Rio Grande Valley School of Medicine,509.0,3.74
44,Loyola University Chicago Stritch School of Medicine,510.0,3.68
87,University of Arizona College of Medicine - Phoenix,510.0,3.69
35,Indiana University School of Medicine,510.0,3.8
82,The University of Toledo College of Medicine and Life Sciences,510.0,3.65
49,Medical College of Wisconsin,510.0,3.7
31,Hackensack Meridian School of Medicine at Seton Hall University,510.0,3.73
146,West Virginia University School of Medicine,510.0,3.81
86,University of Alabama School of Medicine,510.0,3.82
28,Geisinger Commonwealth School of Medicine,510.0,3.65
64,Penn State University College of Medicine,510.0,3.8
89,University of Arkansas for Medical Sciences College of Medicine,510.0,3.72
99,University of Connecticut School of Medicine,510.0,3.82
135,University of Washington School of Medicine,510.0,3.79
0,Albany Medical College,510.0,3.68
126,University of South Carolina School of Medicine,510.0,3.84
127,University of South Carolina School of Medicine Greenville,511.0,3.77
41,Loma Linda University School of Medicine,511.0,3.88
116,University of Nebraska College of Medicine,511.0,3.84
14,Creighton University School of Medicine,511.0,3.78
92,"University of California, Riverside School of Medicine",511.0,3.73
140,Wake Forest School of Medicine - Wake Forest Baptist Health,511.0,3.72
118,"University of Nevada, Reno School of Medicine",511.0,3.74
43,Louisiana State University School of Medicine in Shreveport,511.0,3.49
10,Charles E. Schmidt College of Medicine at Florida Atlantic University,511.0,3.8
105,University of Kansas School of Medicine,511.0,3.83
106,University of Kentucky College of Medicine,511.0,3.79
142,Washington State University Elson S. Floyd College of Medicine,511.0,3.31
56,New York Medical College,512.0,3.65
67,Robert Larner College of Medicine at the University of Vermont,512.0,3.7
84,Tulane University School of Medicine,512.0,3.63
138,Virginia Commonwealth University School of Medicine,512.0,3.79
68,Rush Medical College,512.0,3.71
5,California Northstate University College of Medicine,512.0,3.67
69,Rutgers New Jersey Medical School,512.0,3.74
22,Eastern Virginia Medical School,512.0,3.68
48,Medical College of Georgia at Augusta University,512.0,3.87
7,Carle Illinois College of Medicine,512.0,3.7
6,California University of Science and Medicine,512.0,3.62
19,Drexel University College of Medicine,512.0,3.76
42,Louisiana State University School of Medicine in New Orleans,512.0,3.69
40,Lewis Katz School of Medicine at Temple University,512.0,3.75
36,Jacobs School of Medicine and Biomedical Sciences at the University at Buffalo,512.0,3.74
29,George Washington University School of Medicine and Health Sciences,512.0,3.73
112,University of Minnesota Medical School,513.0,3.77
108,University of Maryland School of Medicine,513.0,3.85
50,Medical University of South Carolina College of Medicine,513.0,3.78
98,University of Colorado School of Medicine,513.0,3.82
26,Frank H. Netter MD School of Medicine at Quinnipiac University,513.0,3.68
88,University of Arizona College of Medicine - Tucson,513.0,3.86
133,University of Utah School of Medicine,513.0,3.82
30,Georgetown University School of Medicine,513.0,3.79
90,"University of California, Davis School of Medicine",513.0,3.79
63,Oregon Health & Science University School of Medicine,513.0,3.77
136,University of Wisconsin School of Medicine and Public Health,513.0,3.84
110,University of Miami Leonard M. Miller School of Medicine,514.0,3.75
139,Virginia Tech Carilion School of Medicine,514.0,3.62
101,University of Hawaii John A. Burns School of Medicine,514.0,3.85
72,Sidney Kimmel Medical College at Thomas Jefferson University,514.0,3.74
129,University of Tennessee Health Science Center College of Medicine,514.0,3.71
70,Rutgers Robert Wood Johnson Medical School,514.0,3.62
75,State University of New York Downstate College of Medicine,514.0,3.72
11,Chicago Medical School at Rosalind Franklin University of Medicine & Science,514.0,3.74
83,Tufts University School of Medicine,514.0,3.72
71,Saint Louis University School of Medicine,514.0,3.9
76,State University of New York Upstate Medical University,515.0,3.81
109,University of Massachusetts Medical School,515.0,3.78
23,Emory School of Medicine,515.0,3.8
103,University of Illinois College of Medicine,515.0,3.75
80,Texas Tech University Health Sciences Center School of Medicine,515.0,3.88
100,University of Florida College of Medicine,515.0,3.85
104,University of Iowa Roy J. and Lucille A. Carver College of Medicine,515.0,3.83
95,University of Central Florida College of Medicine,515.0,3.8
24,Florida International University Herbert Wertheim College of Medicine,515.0,3.67
81,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,516.0,3.89
120,University of North Carolina at Chapel Hill School of Medicine,516.0,3.84
91,"University of California, Irvine School of Medicine",516.0,3.84
1,Albert Einstein College of Medicine,516.0,3.84
78,Texas A&M University College of Medicine,516.0,3.83
66,Renaissance School of Medicine at Stony Brook University,516.0,3.86
27,Geisel School of Medicine at Dartmouth,516.0,3.74
124,University of Rochester School of Medicine and Dentistry,516.0,3.79
39,Keck School of Medicine of the USC,516.0,3.78
122,University of Oklahoma College of Medicine,516.0,3.9
93,"University of California, San Diego School of Medicine",516.0,3.83
130,University of Texas Medical Branch School of Medicine,517.0,3.97
141,Warren Alpert Medical School of Brown University,517.0,3.83
147,Western Michigan University Homer Stryker M.D. School of Medicine,517.0,3.63
55,Morsani College of Medicine at USF Health,517.0,3.67
62,Ohio State University College of Medicine,517.0,3.89
47,McGovern Medical School at the University of Texas Health Science Center at Houston,518.0,3.91
79,Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,518.0,3.86
8,Case Western Reserve University School of Medicine,518.0,3.82
97,University of Cincinnati College of Medicine,518.0,3.84
20,Duke University School of Medicine,518.0,3.88
94,"University of California, San Francisco School of Medicine",518.0,3.85
3,Boston University School of Medicine,518.0,3.84
123,University of Pittsburgh School of Medicine,518.0,3.88
18,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,518.0,3.81
2,Baylor College of Medicine,518.0,3.91
16,"David Geffen School of Medicine at University of California, Los Angeles",518.0,3.86
111,University of Michigan Medical School,519.0,3.89
74,Stanford University School of Medicine,519.0,3.9
32,Harvard Medical School,519.0,3.93
132,University of Texas Southwestern Medical School,519.0,3.93
34,Icahn School of Medicine at Mount Sinai,519.0,3.88
17,Dell Medical School - The University of Texas at Austin ,519.0,3.89
134,University of Virginia School of Medicine,520.0,3.95
145,Weill Cornell Medicine,520.0,3.9
60,Northwestern University Feinberg School of Medicine,520.0,3.91
46,Mayo Clinic Alix School of Medicine,520.0,3.91
12,Columbia University Vagelos College of Physicians and Surgeons,521.0,3.9
137,Vanderbilt University School of Medicine,521.0,3.93
37,Johns Hopkins University School of Medicine,521.0,3.94
96,University of Chicago Division of the Biological Sciences Pritzker School of Medicine,521.0,3.92
65,Perelman School of Medicine at the University of Pennsylvania,521.0,3.92
143,Washington University School of Medicine in St. Louis,522.0,3.93
57,New York University Grossman School of Medicine,522.0,3.95
149,Yale School of Medicine,522.0,3.92
